n_cases,runtime_seconds,days_used,unmatched_to_judges,unmatched_to_rooms,total_meetings
10,0.0009249310005543521,10,0,0,10
20,0.0019200759998057038,10,0,0,21
30,0.0035479910002322868,10,0,0,31
40,0.007325153999772738,10,0,0,41
50,0.01062899299995479,10,0,0,53
60,0.01581490899934579,10,0,0,63
70,0.026691741999457008,10,0,0,80
80,0.03790588799984107,11,0,0,90
90,0.05005376700046327,10,0,0,101
100,0.07048262399985106,11,0,0,112
110,0.09109775599972636,11,0,0,129
120,0.1324047010002687,11,0,0,140
130,0.16584386700014875,12,0,0,150
140,0.1781870490003712,11,0,0,161
150,0.20859144699988974,13,0,0,172
160,0.2508198330006053,13,0,0,185
170,0.3094115600006262,14,0,0,197
180,0.3797790549997444,13,0,0,207
190,0.4347688420002669,12,0,0,217
200,0.4445870060008019,15,0,0,227
210,0.5089451180001561,15,0,0,240
220,0.6807928150001317,15,0,0,251
230,0.7941007640001772,15,0,0,261
240,0.8468567680001797,17,0,0,271
250,0.913057937999838,16,0,0,281
260,0.9760667600003217,15,0,0,292
270,1.1760336359993744,18,0,0,302
280,1.2078824650006936,18,0,0,312
290,1.3251995310001803,20,0,0,323
300,1.634161031000076,20,0,0,333
310,1.7160581139996793,21,0,0,344
320,1.8315434950000054,21,0,0,354
330,1.8952037999997629,23,0,0,364
340,2.239306903999932,21,0,0,375
350,2.451184194999769,21,0,0,385
360,2.55342578499949,22,0,0,395
370,3.062388055000156,22,0,0,408
380,3.0180064409996703,22,0,0,418
390,3.3152508509992913,22,0,0,428
400,3.555698188999486,24,0,0,438
410,3.791255443999944,25,0,0,448
420,4.142382549000104,24,0,0,458
430,4.490991096000471,24,0,0,470
440,4.836380081000243,25,0,0,485
450,5.110367203000351,25,0,0,495
460,5.707693975999973,26,0,0,505
470,6.135140385999875,28,0,0,516
480,6.962661174000459,28,0,0,526
490,7.074605134000194,30,0,0,536
500,6.811229500000081,30,0,0,546
510,8.261497198000143,29,0,0,564
520,7.826280269999188,29,0,0,574
530,8.66720677000012,29,0,0,585
540,9.325394133000373,30,0,0,595
550,10.36859537700002,32,0,0,605
560,10.401197687000604,32,0,0,615
570,11.197806443000445,32,0,0,625
580,11.053435492000062,33,0,0,635
590,11.219889836999755,34,0,0,645
600,11.62216057600017,31,0,0,655
610,12.781527250999716,32,0,0,666
620,13.99928835100036,32,0,0,680
